url,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,status,domain,tranco_rank,log_web_traffic,log_tranco_rank,predicted_web_traffic
http://www.voipoid.com/telekom,30,15,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,3,3,3,3,7,7,7,7,5.666666667,5.0,7.0,0,0,0,0,0,0,17,0.176470588,0.8235294120000001,0,2,0,0.214285714,0,0.0,0,1,0.0,0,0.0,100.0,0,0,0,25.0,0,0,0,1,1,0,206,889,0,0,1,1,phishing,voipoid.com,1500000,0.0,14.220976332738882,766971.6734937868
http://usbank-link-mupyndtfft---com.illmickelsonbeats.com/,58,50,0,2,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,1,0,2,0,0,0,0,0,0,5,2,3,3,0,17,17,0,8.0,8.0,0.0,0,0,0,0,0,0,9,0.333333333,0.666666667,0,1,0,0.0,0,0.0,0,1,0.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,0,0,372,1454,0,0,1,0,phishing,illmickelsonbeats.com,1500000,0.0,14.220976332738882,766971.6734937868
http://106.12.192.247/,22,14,1,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.5,0.7857142859999999,0,0,1,1,1,3,0,0,0,0,1,1,8,0,2,2,2,3,3,3,2.75,2.75,2.75,0,0,0,0,0,2,39,0.974358974,0.025641026,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,66.66666667,0,0,0,1,0,1,0,-1,0,1,0,0,phishing,106.12.192.247.,1500000,0.0,14.220976332738882,766971.6734937868
http://www.developingthefuture.net/dijkstra-algorithm-graph-shortest-path/,74,27,0,2,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,7,3,3,3,4,19,19,9,8.0,11.0,6.8,0,0,0,0,0,0,50,0.28,0.72,0,1,0,0.361111111,0,0.111111111,0,1,0.0,0,8.333333332999999,91.66666667,0,0,0,55.88235294,0,0,0,1,1,0,135,2787,2564568,0,0,2,legitimate,developingthefuture.net,1500000,14.7573009912791,14.220976332738882,766971.6734937868
https://secureupdate.appleld.com.duilawyeryork.com/ap/0f425c19a873fed/?cmd=_update&dispatch=0f425c19a873fedc3&locale=_LU,120,42,1,4,0,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0.158333333,0.0,0,0,0,1,0,3,0,0,0,0,0,0,12,1,2,3,2,17,13,17,7.833333333,8.75,7.375,0,0,0,0,0,0,51,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,1,0,25,3993,5707171,0,1,0,phishing,duilawyeryork.com,1500000,15.557234187491186,14.220976332738882,766971.6734937868
http://www.support-appleld.com.secureupdate.duilawyeryork.com/ap/38c716cb82eaac6?cmd=_update&dispatch=38c716cb82eaac626&locale=_US,130,54,1,5,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,1,1,0,0,1,0.138461538,0.0,0,0,0,1,0,3,1,0,0,0,1,0,14,7,2,3,2,17,13,17,7.428571429,7.5,7.375,0,0,0,0,0,0,51,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,1,0,25,3992,5697976,0,1,0,phishing,duilawyeryork.com,1500000,15.555621757527808,14.220976332738882,766971.6734937868
http://fr.fireprox.net/direct/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL2ltcHJlc3Npb24ucGhwL2ZhMTUyNWYyZjE1ZDk0Lz9hcGlfa2V5PTI2MDg5MDU0NzExNSZsaWQ9MTE1JnBheWxvYWQ9JTdCJTIyc291cmNlJTIyJTNBJTIyanNzZGslMjIlN0Q-,198,15,0,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.141414141,0.0,0,0,0,0,0,2,0,0,0,0,1,0,4,3,2,2,6,167,8,167,45.75,5.0,86.5,0,0,0,0,0,0,6,0.666666667,0.333333333,0,0,0,0.0,0,0.5,0,0,50.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,1,0,309,2612,0,0,1,2,phishing,fireprox.net,1500000,0.0,14.220976332738882,766971.6734937868
https://www.diamondfire.guru/?sh,32,20,0,2,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,2,3,2,11,11,2,5.333333333,7.0,2.0,0,0,0,0,0,0,8,0.0,1.0,0,1,0,0.0,0,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,0,290,-1,4910786,0,0,0,phishing,diamondfire.guru,1500000,15.406944772058797,14.220976332738882,766971.6734937868
http://www.myphonereviews.com/wp-includes/DHLAUTO/dhl.php,57,22,0,3,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,1,0,0,0,0,0,7,3,2,3,2,14,14,8,5.714285714,8.5,4.6,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,2,733,0,0,1,2,phishing,myphonereviews.com,1500000,0.0,14.220976332738882,766971.6734937868
http://www.shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531,81,27,1,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.259259259,0.0,0,0,0,0,0,2,0,0,0,0,1,0,5,8,2,3,2,32,19,32,13.2,11.0,14.66666667,0,0,0,0,0,0,30,0.966666667,0.033333333,0,0,0,0.0,0,0.0,0,0,100.0,0,80.0,20.0,0,0,0,100.0,0,0,0,1,0,0,76,5767,0,0,1,2,phishing,shadetreetechnology.com,1500000,0.0,14.220976332738882,766971.6734937868
